Film Adı,Türler,Özet
Dragon Ball Z: Tanrıların Savaşı,"Animasyon, Aksiyon, Bilim-Kurgu",Majin Buu ile olan son savaşın ardından galaksinin bir kısmı harap olur ve savaşın etkileri yıkım tanrısı Bills’i uzun uykusundan uyandırır. Bills evrendeki dengeyi korumak amacıyla yıkım yapan bir savaşçıdır. Uykusundan uyandığında kendisinden sonraki en büyük yıkımcı Frieza’nın bir Saiyan tarafından yenildiğini öğrenir. Bu durum ilgisini çektiği için dünyaya yönelerek Son Goku’ya meydan okuyacaktır.
Pan'ın Labirenti,"Fantastik, Dram, Savaş","1944 yılı İspanya'sında, sivil savaş kargaşası sona ermiş görünse de, Navarra'nın kuzeyindeki dağlık bölgelerde çatışmalar sürmektedir. Kendi hayal dünyasında yaşayan 10 yaşındaki Ofelia, hamile annesi Carmen'le birlikte, Navarra'ya, üvey babası Kaptan Vidal'in yanına gider. Kaptan Vidal, faşist yönetimin emrinde çalışan ve sınırları isyancılardan temizlemekle görevli bir memurdur. Sert mizacı ve otoriter tavrı nedeniyle üvey babasıyla en ufak bir yakınlık kuramayan Ofelia, bir gün arka bahçelerinde, esrarengiz bir labirent keşfeder. Bu labirentin içinde tanıştığı, gövdesinin yarısı insan yarısı yaratık olan Pan'la yaşayacakları, Ofelia'nın bütün yaşamını değiştirecektir."
Avere vent'anni,Komedi,
Komşu Kızı,"Komedi, Romantik","Matthew, politikaya atılmak isteyen 18 yaşında bir gençtir. Bitirmek üzere olduğu okuluna konsantre olduğu için, sosyal yaşamı neredeyse yok gibidir. Bir gün masum görünüşlü güzel karşı komşusu Danielle ile tanışan Matthew'in hayatı birden bire değişir. İkili bir birine aşık olur ve hayal gibi bir ilişki başlar. Fakat Danielle'in geçmişi sanıldığı gibi masum değildir. Matthew, bütün şehirle birlikte, genç kızın bir dönem porno yıldızı olduğunu keşfeder. Kurduğu mükemmel yaşantı derinden sarsılan Matthew, Danielle'in geçmişte bıraktığı masumiyetini yeniden kazanmasına yardımcı olurken, Danielle'de Matthew'un kabuğundan çıkarak yaşamı keşfetmesini sağlayacaktır."
Hachi: Bir Köpeğin Hikayesi,"Dram, Aile",Bir profesör ile bir köpek arasındaki müthiş dostluğu konu edinen. 1987 yılında Hachiko Monogatari isimli Japon filmine konu olan gerçek olaylar bu defa Stephen P. Lindsay tarafından senaryolaştırılmıştır.
Zombieland,"Komedi, Korku","Dünya zombilerin istilası altındadır. Texas’ta yaşayan Columbus, korkak ancak ""Kuralları” sayesinde hayatta kalabilmiş bir üniversite öğrencisidir. Ohio’da yaşayan ailesinin hayatta olup olmadığını görmek için oraya gitmeye karar verir. Yolda karşılaştığı Tallahassee, silah aşığı, zombi avlamayı seven, en büyük amacı dünyadaki son Twinkie keklerinden yemek olan sert görünümlü biridir. Zombi istilasının karmaşasında hayatta kalmak için hırsızlığı seçen Wichita ve Little Rock isimli kız kardeşlerle yolları kesişen bu ikili grubun yeni üyeleri ile Columbus'a ailesini bulaması için yardım edeceklerdir."
Görevimiz Tehlike,"Macera, Aksiyon, Gerilim","Bir IMF (İmkansız Görev Gücü) görevinde olan, Jim Phelps ve ekibi, IMF ekibinin içine sızmış bir köstebeği ortaya çıkartmaya çalışıyorlardır. Herşey yolunda giderken birden operasyon ters gitmeye başlar ve ekipte Ethan Hunt dışında herkes ölür. IMF merkezi hainin o olduğunu düşünüyordur ve ona bu yönde kanıtlar sunarlar. Fakat Ethan Hunt masum olduğunu biliyordur. Kendisini temize çıkarmak için kaçacaktır."
Hold Your Breath,"Korku, Gerilim, Dram","1930ların Oklahoma'sında, bölgedeki korkunç toz fırtınalarının içinde bir kadın, şeytani bir varlığın ailesini tehdit ettiğine inanır."
Marslı,"Dram, Macera, Bilim-Kurgu","Mars'a gönderilen astronotlardan Mark Watney, şiddetli bir fırtına sonrası öldü sanılarak ekibi tarafından terk edilir. Ancak Watney hayattadır ve kendisini Mars'ta yapayalnız bulur. Elindeki sınırlı olanaklarla zekasını ve dayanıklılığını kullanarak dünyaya yaşadığına dair bir sinyal gönderir. Bilim adamları ""Marslı""nın eve dönmesi için uğraşırken ekip arkadaşları da kurtarma operasyonunda yer alırlar."
Sıradan Melekler,Dram,"Kentucky'nin küçük bir kasabasında, iki kızınının geçimini sağlamak için mücadele eden dul Ed Schmitt ile tanıştığında hayatında yeni bir amaç bulan Sharon Steves'in hikayesini konu ediyor. Ed’in küçük kızınını karacaiğer nakli için beklediğini öğrenen Sharon, onlara yardım etmeyi kafasına koyar ve bunu yapmak için dağları yerinden oynatır. Ortaya çıkan şey, inancın, gündelik mucizelerin ve sıradan meleklerin ilham verici hikayesidir."
Genç Deniz Canavarı Ruby,"Animasyon, Aile, Fantastik, Komedi","16 yaşındaki Ruby Gillman, Oceanside Lisesi’nde kendisine kesirlerden dolayı hayranlık duyan kaykaycı çocuğa matematik dersi vermektedir. Süper annesi, Ruby’nin suya girmesini yasakladığı için okuldaki çocuklarla plajda takılamaz. Ruby, savaşçı Kraken kraliçelerinin torunu olduğunu ve hükümdar büyükannesi, Yedi Denizin Savaşçı Kraliçesi’nden tacı devralmanın kaderinde olduğunu keşfeder."
Van Helsing,"Korku, Macera, Aksiyon","Gabriel Van Helsing, hatırlamadığı geçmişindeki bir lanetten dolayı reddemediği bir görev almıştır. Vatikan'daki gizli bir örgüt için çalışan Van Helsing, dünyaya kabuslar yaşatan şeytani yaratıkları avlamaktadır. İnsanlık için yaptığı büyük iyilikler anlaşılamadığı için Van Helsing kahraman değil, bir katil olarak görülmektedir. Efsanevi ölümsüz vampir Kont Drakula'yı yoketmek için Transilvanya'ya gönderilen Van Helsing, bu bölgenin Drakula'nın yarattığı korku havasıyla onun tarafından yönetildiğini görür.Drakula'nın en büyük düşmanı olan çingene Valerious ailesinin hayatta kalan son bireyi Anna Valerious ile tanışan Van Helsing, genç avcı kadının ailesinin intikamını almak için Drakula'yı avlamak istediğini öğrenince ortak düşmanlarına karşı güçlerini birleştirme kararı alırlar."
All of Us Strangers,"Romantik, Dram, Fantastik","Strangers, Tesadüfen gizemli komşusu ile karşılaştıktan sonra hayatı değişen bir adamın hikayesini konu ediyor. Senarist olan Adam’ın hayatı, bir gece tesadüfen komşusu Harry ile karşılaşmasıyla bambaşka bir hal alır. İkisi arasındaki ilişki arttıkça Adam, çocukluk evine geri çekilir ve burada uzun süre önce ölmüş olan ebeveynlerinin hayatta olduklarını ve otuz yıl önce öldükleri günkü yaşta göründüklerini keşfeder."
Top Gunner: Tehlike Bölgesi,"Aksiyon, Gerilim","Mavi gökyüzünün altında, insanlığın ilerlemesini taşıyan devasa bir uçak, dünyanın ortasında seyahat ediyordu. Ancak bu seyahat, beklenmedik bir tehlikeyle kesintiye uğradı. Gökdelenler arasında alçak bir rotada ilerleyen uçak, içindeki patlayıcı maddenin tehlikesiyle karşı karşıyaydı. ABD Hava Kuvvetleri, hızla müdahale etti ve olağanüstü bir karşı koyma başladı. Ancak, durum daha karmaşık hale geldi. Hem yerden hem de gökyüzünden gelen gizemli bir tehdit, durumu daha da karmaşık hale getirdi. ABD savaş uçakları, bu beklenmedik saldırıya karşı koymak için hazırlıksız yakalandı. Gökyüzünde ve yerde, ölümcül bir çatışma başladı. Fakat cesur pilotlar, bu tehlikeyle yüzleşmek için cesurca ilerlediler. Karanlık gökyüzü, onların kararlılığıyla aydınlandı."
Dragon Ball Z: Wrath of the Dragon,"Animasyon, Aksiyon, Bilim-Kurgu","Z Warriors, açılmayan bir müzik kutusu keşfediyor ve ejder toplarıyla açması söyleniyor. İçerikler, kendisini Tapınak adında bir canavar olan Hildegarn ile birlikte mühürleyen bir savaşçı olarak çıkıyor. Goku şimdi kötü canavar yenmek için yeni bir teknik mükemmel olmalıdır."
Creed: Efsanenin Doğuşu,"Aksiyon, Dram","Eski boksör Apollo Creed'in evlilik dışı biri ilişkiden doğan çocuğu olan Donnie annesinin ölümünün ardından Creed'in dul eşi tarafından himaye altına alınır ve zengin bir ailede rahat bir şekilde büyür. Üvey annesinin himayesinde gayet iyi bir yaşama kavuşan Adonis, önündeki tüm iyi yaşam fırsatlarına rağmen tek bir arzu ile yanıp tutuşmaktadır; babası gibi boksör olmak! Kendini eğitmesi için babası Apollo Creed'in hem rakibi hem de yakın dostu olan, boks hayatını çoktan geride bırakmış Rocky Balboa’yı bulmaya Philadelphia'ya gider."
Zamanda Aşk,"Dram, Romantik, Fantastik","21 yaşına basan Tim Lake, ailesindeki tüm erkeklerin sahip olduğu gizli bir yeteneğinin olduğunu öğrenir. Lake ailesinin tüm erkekleri zamanda seyahat etme yeteneğine sahiptir ve Tim de artık bunu kullanabilecektir. Bunu fırsat bilen Tim geçmişindeki utanç verici anlara gidip olayları değiştirmeye başlar. Kısa bir süre sonra Londra'ya taşınır ve son derece çekici bir kadın olan Mary'e aşık olur. Tim herkesten gizlediği yeteneğini ilişkilerine de yeni bir 'boyut' getirmesi için kullanmaya başlar ve bu sayede her adımı hatasız atlatmayı planlar. Ancak bir süre sonra her sorunu bu şekilde çözemeyeceğini ve hataların da hayatın gerekli birer parçası olduğunu fark eder."
Gizli Sayılar,"Dram, Tarih","Gizli Sayılar, yıldızları hedefleyerek ülkenin temellerini değiştiren parlak bir kadın grubunun inanılmaz, anlatılmamış, ancak gerçek hikayesini ortaya çıkarıyor. Film, NASA'daki siyah kadın matematikçilerden oluşan seçkin bir takımın, Sovyetler Birliği'ndeki Amerikalı rakiplerine karşı uzay yarışını kazanmasına yardımcı oldukları ve aynı zamanda, eşit haklara ve fırsatlara ilerlemeye yönelik arayışların hayati tarihini anlatıyor."
Aşk Dersi,"Romantik, Dram, Komedi","Ünlü bir söz yazarı olan Hee-Soo ( Kim Sun-Young ) yalnızdır ve bir türlü şarkı yazmak için ilham bulamamaktadır. Bir gün asansörde genç bir erkekle karşılaşır ve onun bakışlarını fark eder. Bu ona ilham verir, sonrasında ise müzik dersi verme bahanesiyle onunla yakınlaşır ve yeni şarkısını yazmaya başlar. Şarkısı tamamlanırken bu çocuk da ona aşık olmaya başlayacak ve Hee-Soo ona aşk ve müzik hakkındaki her şeyi anlatacaktır"
Bu Nasıl Sarışın,"Komedi, Romantik","Elle Woods'un genç ve kendisi gibi sarışın kuzenleri Annie ve Izzy (Milly ve Becky Rosso) İngiltere'den, Amerika'ya taşındıklarında pembe kıyafetleri, küçük köpekleri ve alışveriş meraklarıyla kendilerini tam oraya ait hissediyorlardı. Ancak yeni okullarında sıkıcı üniformalar giyip, zengin ve şımarık öğrencilerle karşılaşınca çok şaşırırlar. Okul onları kopya çekmekle suçlayınca, iki sarışın akıllarını ve etkileyiciliklerini kullanarak isimlerini temize çıkarmak zorunda kaldılar..."
300 Spartalı,"Aksiyon, Macera, Savaş","Pers Kralı Xerxes, zafer kazanmaya alışmış güçlü ordusunu yine kendinden emin bir eda ile Yunan Krallıkları üzerine yollar. Ne denli güçlü bir ordu ile karşı karşıya olduğunun farkında olan Sparta Kralı, Tanrıları savaşmaya ikna edemeyince en cesur 300 askerini toplayarak Thermopylae'de Perslilerle savaşmaya gider. Çocukluklarından beri tamamen savaşçı olarak yetiştirilmiş olan bu 300 asker, hayatlarının en büyük mücadelesini vereceklerdir. Ölüm ne kadar kaçınılmaz olsa da cesaretleri ve güçleri bunu yenmeye hazırdır. Büyük bir dirençle düşmana karşı koyarken bir yandan da savaşmama kararı ile yanlış bir karar vermiş olan konseyin yanlışını anlayarak orduyu savaşa göndermesini bekleyeceklerdir."
Taşıyıcı,"Aksiyon, Suç, Gerilim","Frank Martin yaptığı işin en iyisidir. Tehlikeli veya yasadışı maddeleri hiçbir soru sormadan bir noktadan diğerine taşır. Ama en son sevkiyatında, uluslararası esir tüccarlarının kaçırdığı güzel bir kadın, onun taşıma planlarında ölümcül problemler çıkmasına neden olur. Artık Frank değerli kargosunu ve kendi hayatını kurtarmak için durmak bilmeyen, hareket dolu bir savaşa girmelidir."
Indiana Jones: Kamçılı Adam,"Macera, Aksiyon","Şangay’da bir gece kulübündeki kargaşadan son anda kaçan Indiana Jones, yanında uzakdoğulu küçük yardımcısı ve istemeden kader birliği ettiği genç ve çekici şarkıcı Willie olduğu halde, kendisini Hindistan’da bulur. Maceraperest arkeolog, küçük bir köydeki çocukları kaçırarak madende çalıştıran ve zulüm eden Thuggee tarikatıyla karşı karşıya gelir. Kana susamış bu şeytani tarikatın hedefi, yüz yıl önce İngiliz sömürgeciler tarafından yasaklanan korkunç eylemlerine devam etmek için madenlerde kaybolmuş olan kutsal elmasları bulmaktır."
Resident Evil: Ölüm Adası,"Animasyon, Aksiyon, Korku","D.S.O. ajanı Leon S. Kennedy, Doktor Antonio Taylor'ı onu kaçıranlardan kurtarmakla görevlidir. Gizemli bir kadın ise Kennedy'inin planlarını bozmaktadır. Bu sırada B.S.A.A. ajanı Chris Redfield, San Fransisco'da nedeni belirlenemeyen bir zombi salgınını araştırmaktadır. Salgındaki kurbanların tek ortak noktası yakın zamanda Alcatraz Adası'nı ziyaret etmiş olmalarıdır. Bu ipucunu baz alarak Chris ve ekibi onları dehşetin beklediği adaya doğru yola çıkarlar."
Savaş Gemisi: Hedef Dünya,"Gerilim, Aksiyon, Macera, Bilim-Kurgu","Bir dönemin favori savaş oyunu olan Amiral Battı'nın hikayesinden uyarlanan filmde Teğmen Alex Hopper Amerikan ordusuna bağlı John Paul Jones savaş üssünde görevli bir subaydır. Hopper’ın ağabeyi Stone ise USS Sampson üssünün komutanıdır. Alex Hopper orduda görevli fizyoterapist Sam ile nişanlıdır ve Sam'in babası da iki erkek kardeşin kumandanı olan Amiral Shane'dir. Bu ekip dünyayı tehdit eden süper güçlere karşı 3 koldan, denizden, karadan ve havadan büyük bir hayatta kalma mücadelesi verecektir."
Kara Şahin Düştü,"Aksiyon, Savaş, Tarih",1993'de birleşmiş milletlerin Somaliye yiyecek yardımı yapmasının ardından gelen yardımları adamları tarafından toplatan Mohamed Farrah Aidid onbinlerce insanın ölmesine yol açmıştır.Bu olaya bir son vermek için özel eğitimli bir ekibin Aididin iki önemli adamını şehir merkezinde bir binada yakalamasına karar verilir.Plana göre şehre helikopterle gidilecektir binada 2 adam yakalanılarak sıcak çatışma olmadan geri dönülecetir 45 dakikada bitmes planlanan bu görev helikopterlerden birinin düşürülmesiyle bir anda tersine döner.Bundan sonra sayıları az olan askerlerle binlerce somali 18 saat süren bir savaşa başlar.
SüngerBob KarePantolon: Firarda,"Aile, Animasyon, Fantastik, Macera, Komedi","En iyi arkadaşı Gary aniden kaçırılınca Sünger Bob, pembe kabuklu dostunu kurtarmak için Patrick ile birlikte Bikini Kasabası'nın çok ötesinde çılgın bir göreve çıkar."
Mulan,"Macera, Fantastik, Aksiyon, Aile","Çin İmparatoru, her aileden bir erkeğin ülkeyi Kuzeyli işgalcilerden korumak üzere orduya katılmasına karar verince, onurlu bir savaşçının en büyük kızı olan Hua Mulan hasta babasının yerini almak için erkek kılığında, Hua Jun olarak orduya katılır. Mulan yolun her adımında test edilirken; iç gücünü kullanması ve gerçek potansiyelini kucaklaması gerekecektir. Bu destansı yolculuk Mulan'ı onurlu bir savaşçıya dönüştürürken, ona bir ulusun minnetini ve gururlu bir babanın saygısını kazandıracaktır."
Suzume,"Animasyon, Dram, Macera, Fantastik","Kyushu'nun sakin bir kasabasında yaşayan 17 yaşındaki Suzume, yolda ""bir kapı arayan"" genç bir adamla tanışır. Suzume adamı dağlardaki harap bir binaya kadar takip eder ve yıkımdan kurtulmuş gibi bağımsız, bozulmamış duran bir kapı bulur. Suzume görünmez bir güç tarafından çekildiğini hisseder ve kapıya uzanır. Çok geçmeden Japonya'nın her yerindeki kapılar ardı ardına açılmaya başlar. Ancak açılan kapılar, diğer tarafta yer alan felaketi engellemek için kapatılmalıdır. Böylece gizemli kapıların çağırdığı Suzume'nin ""kapıları kapatma yolculuğu"" başlar."
Sahil Güvenlik,"Komedi, Aksiyon, Suç","Plajlarını kurtarmak isteyen seçkin cankurtaran Mitch Buchannon ve eski bir Olimpiyat şampiyonu, körfezin geleceğini tehdit eden bir komployu araştırır."
Zor Ölüm 2,"Aksiyon, Gerilim","Karlı bir Noel akşamında ülkenin başkentindeki en önemli havaalanı bir grup terörist tarafından gasp edilmiş ve birçok yolcu esir alınmıştır. Militan komandolar tarafından oluşan teröristler, tehlikeli ve düzenbaz bir polis memuru tarafından yönetilmektedir. Ve uyuşturucu şebekesinin başındaki birini adaletten kurtarmak için gelirler. Bütün olasılıklara karşı hazırdırlar; yalnızca bir tanesi hariç; John McClaine, ölümcül bir deja vu hissine sahip görev dışında olan bir polis memuru. Havaalanındaki pistler, ölüm ve yıkım ile doludur ve McClane zamanla yarış halindedir. Karısı ise havada dönüp dolaşan ve çok az benzini kalmış bir uçağın içinde kalmıştır."
